caldt,VBINX,VPACX,VEURX,VEIEX,VFINX,VEXMX,VVIAX,NAESX,VISVX,VISGX,VIMSX
2016-12-30,0.012135381,-0.003850495,0.047450776,-0.001606384,0.019626188,0.018204653,0.026383214,0.018636916,0.028178548,0.006214673,0.006521924
2017-01-31,0.012536162,0.046931408,0.029126214,0.049382716,0.018831389,0.021165476,0.00634833,0.015708502,0.006551724,0.027250868,0.029788419
2017-02-28,0.024761905,0.021551724,0.006415094,0.032773109,0.039627483,0.0243607,0.036204059,0.0234375,0.020554985,0.02756827,0.03081914
2017-03-31,0.000198574,0.016883268,0.041953666,0.022529344,0.0010005,-0.000761769,-0.009816849,-0.002402977,-0.007820231,0.00417163,0.000120715
2017-04-28,0.009334163,0.008312552,0.041229656,0.013944223,0.010181151,0.011206328,0,0.008457322,0.004414261,0.013639808,0.011572856
2017-05-31,0.008939581,0.022258862,0.04793331,0.012180747,0.01393744,-0.007953064,0.001075558,-0.011492468,-0.023664638,0.003239472,0.009100364
2017-06-30,0.005544818,0.017586314,-0.007719493,0.007786303,0.006115782,0.023067004,0.017120715,0.022270694,0.023988465,0.020320554,0.006390106
2017-07-31,0.012816601,0.026336792,0.030138842,0.053080201,0.020424581,0.010945146,0.015670651,0.011083744,0.009497965,0.012673653,0.017205958
2017-08-31,0.004218138,0.00155521,0.001314924,0.030905077,0.002934478,-0.004075914,-0.004445607,-0.009439708,-0.014448925,-0.003610108,-0.005806614
2017-09-29,0.012601638,0.01162514,0.031591822,-0.007828173,0.020590859,0.042246514,0.030077263,0.043986896,0.049128281,0.037850155,0.022531749
2017-10-31,0.013103038,0.044684129,0.004152028,0.024372499,0.023175818,0.013899139,0.017971759,0.015514184,0.00848841,0.023765144,0.014449427
2017-11-30,0.017930629,0.020648968,0.001272265,0.001775568,0.030593377,0.028509038,0.035308953,0.030845337,0.031401748,0.030040965,0.031434185
2017-12-29,0.007801094,0.015081712,0.014518238,0.035221653,0.011019883,0.004715402,0.014916489,0.003703549,0.004982335,0.002705974,0.009419281
2018-01-31,0.027073733,0.046863735,0.055066079,0.083906465,0.057126651,0.033490566,0.047814538,0.028405879,0.019798869,0.038903625,0.043334123
2018-02-28,-0.026079641,-0.035812672,-0.061139278,-0.047271574,-0.036984516,-0.038110452,-0.043558424,-0.040676103,-0.047765794,-0.03212766,-0.040626419
2018-03-29,-0.009626444,-0.005255759,-0.003557584,-0.012220293,-0.025515271,0.007113104,-0.025296569,0.011193448,0.008197347,0.014962871,-0.001076531
2018-04-30,-0.000584283,0.003594536,0.02209414,-0.020256583,0.003732415,0.002361833,0.004724018,0.003267045,0.003544956,0.002385082,-0.001662708
2018-05-31,0.019292605,-0.010028653,-0.026629073,-0.028600965,0.023945734,0.047950047,0.006186587,0.050686677,0.044958253,0.057971014,0.017606472
2018-06-29,0.003988637,-0.02647562,-0.010435619,-0.045049151,0.006050541,0.008689965,0.001797807,0.007241997,0.003412866,0.01189197,0.00929848
2018-07-31,0.020091848,0.008233533,0.033156499,0.031763827,0.037093111,0.01620655,0.046678192,0.018233007,0.025199754,0.009911003,0.02556356
2018-08-31,0.023072594,-0.008908686,-0.026957638,-0.035494386,0.032462543,0.045094589,0.01958471,0.044766294,0.023980815,0.070098137,0.025152957
2018-09-28,-0.001307666,0.018182138,0.000923946,-0.013068478,0.005543499,-0.017595848,0.005669243,-0.015437027,-0.017355486,-0.01340628,-0.004824764
2018-10-31,-0.047619048,-0.096678967,-0.079034392,-0.075798384,-0.068490096,-0.100731026,-0.049803104,-0.100976362,-0.090146751,-0.113580247,-0.084095472
2018-11-30,0.014825581,0.02124183,-0.008258528,0.044546211,0.020266496,0.018529588,0.033885909,0.021577594,0.023699803,0.019070066,0.023867511
2018-12-31,-0.049291569,-0.056273152,-0.046717136,-0.029702556,-0.090401417,-0.106977703,-0.093340962,-0.111101663,-0.114385718,-0.106970961,-0.098736259
2019-01-31,0.055471355,0.071490095,0.065724112,0.085159157,0.08002074,0.115922894,0.070212209,0.118335706,0.111882998,0.125590179,0.105542296
2019-02-28,0.020964963,0.008038585,0.030476873,0.00647619,0.032005121,0.049574065,0.029130967,0.048097326,0.039460704,0.058305369,0.042216359
2019-03-29,0.016484475,0.003153111,0.007433548,0.019049321,0.019366373,-0.010009476,0.005658136,-0.009057562,-0.019521184,0.002848503,0.013031237
2019-04-30,0.023942094,0.015127389,0.038541667,0.020833333,0.040411378,0.036525511,0.033817576,0.035924054,0.039209332,0.032443126,0.037374658
2019-05-31,-0.032082654,-0.051764706,-0.055834169,-0.064504373,-0.063646052,-0.069595859,-0.063349459,-0.072521097,-0.080760836,-0.063422112,-0.060632689
2019-06-28,0.046332839,0.053605774,0.063777861,0.054243289,0.070329252,0.068056443,0.071676125,0.070423283,0.067561335,0.07348014,0.070681892
2019-07-31,0.009711357,-0.017405063,-0.027777778,-0.011900335,0.01425887,0.016215016,0.007621247,0.012519979,0.007667732,0.017932087,0.013146363
